               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.037078,            0.013439,          0.00072557,             0.97499,             0.96718,             0.97914,             0.46789,            0.033748,            0.010996,          0.00056651,           0.0070243,           0.0070243,           0.0070243
                 119,            0.035777,            0.013772,           0.0007344,             0.96407,             0.96416,             0.97327,             0.45737,            0.034436,            0.011085,          0.00053368,           0.0069799,           0.0069799,           0.0069799
                 120,            0.037046,            0.013166,          0.00088084,              0.9746,             0.96494,             0.97715,             0.47661,            0.033393,            0.010905,          0.00053549,           0.0069353,           0.0069353,           0.0069353
                 121,            0.037949,            0.013612,           0.0010635,             0.98504,             0.98023,             0.98847,             0.50998,            0.031668,            0.010613,          0.00058106,           0.0068906,           0.0068906,           0.0068906
                 122,            0.035466,            0.013356,          0.00085682,             0.97821,             0.97677,             0.98296,             0.51337,            0.030857,            0.010554,          0.00054185,           0.0068457,           0.0068457,           0.0068457
                 123,            0.035601,            0.012957,           0.0012141,             0.98782,             0.99018,             0.99052,             0.55145,            0.029616,            0.010423,          0.00050457,           0.0068006,           0.0068006,           0.0068006
                 124,            0.035917,            0.014192,           0.0011566,             0.98844,             0.98232,             0.98744,             0.55042,            0.029456,            0.010472,          0.00051954,           0.0067555,           0.0067555,           0.0067555
                 125,            0.035648,            0.013513,           0.0011442,             0.98948,              0.9873,             0.99092,             0.52166,            0.030714,             0.01065,           0.0005602,           0.0067101,           0.0067101,           0.0067101
                 126,            0.036311,            0.013822,           0.0010389,             0.98072,              0.9817,               0.985,             0.50825,            0.032583,            0.010821,          0.00056607,           0.0066647,           0.0066647,           0.0066647
                 127,             0.03656,            0.014532,           0.0011411,             0.97304,               0.976,             0.97876,             0.49018,            0.033253,            0.010746,          0.00056848,           0.0066191,           0.0066191,           0.0066191
                 128,            0.035254,              0.0136,           0.0018007,             0.97993,             0.97434,             0.98526,             0.49956,            0.031888,            0.010691,          0.00052598,           0.0065734,           0.0065734,           0.0065734
                 129,            0.036925,            0.014005,           0.0027324,             0.95687,             0.97009,             0.97954,             0.50126,            0.033423,            0.010956,           0.0013141,           0.0065276,           0.0065276,           0.0065276
                 130,            0.035938,            0.013707,           0.0021158,             0.97714,              0.9704,             0.98396,             0.50011,            0.033504,            0.010974,          0.00074462,           0.0064816,           0.0064816,           0.0064816
                 131,            0.037348,            0.013849,           0.0012802,             0.97226,             0.96614,             0.97745,              0.4851,            0.033136,            0.010858,          0.00058754,           0.0064356,           0.0064356,           0.0064356
                 132,            0.036653,            0.013585,           0.0010229,             0.95643,             0.95728,             0.96472,             0.45487,            0.034081,            0.011115,          0.00059626,           0.0063895,           0.0063895,           0.0063895
                 133,            0.036081,            0.013789,           0.0013091,             0.98406,              0.9774,             0.98703,             0.51887,            0.032114,            0.010739,          0.00045823,           0.0063432,           0.0063432,           0.0063432
                 134,            0.037246,            0.013925,          0.00097469,             0.98089,             0.98225,             0.98788,             0.52197,            0.032432,            0.010738,          0.00042568,           0.0062969,           0.0062969,           0.0062969
                 135,            0.036886,            0.013267,           0.0012109,              0.9825,             0.97945,             0.98666,             0.51129,            0.031461,            0.010739,          0.00044906,           0.0062505,           0.0062505,           0.0062505
                 136,            0.035818,             0.01306,           0.0013763,             0.96961,             0.97324,             0.97622,             0.47988,            0.033598,            0.010913,           0.0004553,            0.006204,            0.006204,            0.006204
                 137,            0.036839,            0.013159,           0.0011774,             0.98217,             0.97961,             0.98659,             0.50311,            0.031323,            0.010796,           0.0004907,           0.0061574,           0.0061574,           0.0061574
                 138,            0.034652,            0.013384,          0.00090598,              0.9837,             0.97515,             0.98574,             0.48418,             0.03212,            0.010739,          0.00047822,           0.0061107,           0.0061107,           0.0061107
                 139,            0.035155,             0.01377,          0.00097909,             0.98298,             0.98101,             0.98656,             0.48559,            0.032041,             0.01074,          0.00046378,            0.006064,            0.006064,            0.006064
                 140,            0.034182,            0.013383,          0.00089412,             0.98395,             0.97784,             0.98666,             0.50985,            0.031678,            0.010671,          0.00045574,           0.0060172,           0.0060172,           0.0060172
                 141,            0.035449,            0.013292,          0.00076821,             0.98061,             0.97906,              0.9857,             0.49502,            0.033296,            0.010572,          0.00044886,           0.0059704,           0.0059704,           0.0059704
                 142,            0.036659,            0.013132,          0.00073926,             0.98675,             0.98261,             0.98961,             0.52914,            0.031193,            0.010475,          0.00045118,           0.0059235,           0.0059235,           0.0059235
                 143,             0.03382,            0.013095,          0.00076636,             0.98449,              0.9817,             0.98882,             0.52286,            0.031582,            0.010634,          0.00049652,           0.0058766,           0.0058766,           0.0058766
                 144,            0.034653,             0.01299,          0.00088494,             0.98284,             0.98173,             0.98609,             0.50839,            0.031984,            0.010482,          0.00051753,           0.0058296,           0.0058296,           0.0058296
                 145,            0.035326,            0.013153,          0.00082973,               0.985,             0.98401,             0.98806,              0.5349,            0.030638,            0.010422,           0.0005032,           0.0057826,           0.0057826,           0.0057826
                 146,            0.034507,            0.013359,          0.00084656,             0.98955,             0.98669,             0.99034,             0.54284,            0.029831,            0.010413,          0.00046262,           0.0057355,           0.0057355,           0.0057355
                 147,            0.034014,            0.013267,           0.0010597,             0.98377,             0.98191,             0.98848,             0.51082,            0.031242,            0.010638,          0.00044961,           0.0056884,           0.0056884,           0.0056884
                 148,            0.034064,            0.013502,          0.00076184,             0.98005,             0.97608,             0.98377,             0.48429,            0.032923,            0.010775,          0.00042821,           0.0056413,           0.0056413,           0.0056413
                 149,            0.034819,            0.013078,          0.00080748,             0.99212,              0.9887,             0.99401,             0.53846,            0.029722,            0.010366,          0.00040336,           0.0055942,           0.0055942,           0.0055942
